Name Mass Radius Orbit Smass Distance Habitable Method Year
"1RXS 1609 b" 4451.16 19.04 330 0.73 145 0 "imaging" 2008
"1SWASP J1407 b" 6358.8 10.94 3.9 0.9 133 0 "primary transit" 2012
"2M 0103-55(AB) b" 4133.22 11.4 84 0.4 47.2 0 "imaging" 2013
"2M 0122-24 b" 6358.8 11.2 52 0.4 36 0 "imaging" 2013
"2M 0219-39 b" 4419.37 16.13 156 0.11 39.4 0 "imaging" 2015
"2M 0441+23 b" 2384.55 11.66 15 0.02 140 0 "imaging" 2010
"2M 0746+20 b" 9538.2 10.86 2.53 0.12 12.21 0 "imaging" 2010
"2M 1207-39 b" 1271.76 11.66 46 0.03 52.4 0 "imaging" 2004
"2M 2140+16 b" 6358.8 10.3 3.41 0.08 25 0 "imaging" 2010
"2M 2206-20 b" 9538.2 14.56 4.48 0.13 26.67 0 "imaging" 2010
"2M 2236+4751 b" 3974.25 11.43 230 0.6 63 0 "imaging" 2016
"2MASS J1450-7841 Ab" 12717.6 9.75 300 0.04 75 0 "imaging" 2017
"2MASS J1450-7841 Bb" 12717.6 9.75 300 0.04 75 0 "imaging" 2017
"2M J2126-81 b" 4228.6 11.38 6900 0.4 24.75 0 "imaging" 2016
"4 Uma b" 2257.37 11.67 0.78 1.23 78.5 0 "radial velocity" 2007
"7 CMa b" 782.13 11.44 1.88 1.52 19.75 0 "radial velocity" 2011
"8 Umi b" 476.91 10.92 0.49 1.8 159.1 0 "radial velocity" 2015
"11 Com b" 6168.04 10.98 1.26 2.7 110.6 0 "radial velocity" 2008
"11 Oph b" 6676.74 10.87 243 0.02 145 0 "imaging" 2007
"11 UMi b" 3338.37 11.54 1.54 1.8 119.5 0 "radial velocity" 2009
"14 And b" 1694.62 11.68 0.83 2.2 76.4 0 "radial velocity" 2008
"14 Her b" 1475.24 11.68 2.57 0.9 18.1 0 "radial velocity" 2002
"16 Cyg B b" 534.14 11.06 1.22 1.01 21.41 0 "radial velocity" 1996
"18 Del b" 3274.78 11.55 2.59 2.3 73.1 0 "radial velocity" 2008
"24 Boo b" 289.33 10.09 0.19 0.99 100 0 "radial velocity" 2018
"24 Sex b" 632.7 11.25 1.33 1.54 74.8 0 "radial velocity" 2010
"24 Sex c" 273.43 9.99 1.99 1.54 74.8 0 "radial velocity" 2010
"30 Ari B b" 3141.25 11.58 0.95 1.22 39.4 0 "radial velocity" 2009
"42 Dra b" 1233.61 11.65 1.1 0.98 97.3 0 "radial velocity" 2009
"47 Uma b" 804.39 11.46 2.1 1.03 13.97 0 "radial velocity" 1996
"47 Uma c" 171.69 9.01 3.58 1.03 13.97 0 "radial velocity" 2001
"47 Uma d" 521.42 11.03 11.45 1.03 13.97 0 "radial velocity" 2010
"51 Eri b" 2893.25 12.43 13.69 1.75 29.4 0 "imaging" 2015
"51 Peg b" 149.43 21.28 0.05 1.11 14.7 0 "radial velocity" 1995
"55 Cnc b" 267.07 9.94 0.11 0.91 12.34 0 "radial velocity" 1996
"55 Cnc c" 56.72 6.56 0.24 0.91 12.34 0 "radial velocity" 2002
"55 Cnc d" 1227.25 11.65 5.44 0.91 12.34 0 "radial velocity" 2002
"55 Cnc e" 8.1 1.99 0.02 0.91 12.34 0 "primary transit" 2004
"55 Cnc f" 47.02 6.17 0.77 0.91 12.34 0 "radial velocity" 2007
"61 Vir b" 5.09 1.66 0.05 0.95 8.52 0 "radial velocity" 2009
"61 Vir c" 18.22 4.51 0.22 0.95 8.52 0 "radial velocity" 2009
"61 Vir d" 22.89 4.87 0.45 0.95 8.52 0 "radial velocity" 2009
"70 Vir b" 2098.4 11.68 0.43 0.92 22 0 "radial velocity" 1996
"75 Cet b" 953.82 11.56 2.1 2.49 81.5 0 "radial velocity" 2012
"81 Cet b" 1685.08 11.68 2.45 2.4 97.2 0 "radial velocity" 2008
"91 Aqr b" 1017.41 11.59 0.7 2.5 45.9 0 "radial velocity" 2003
"Aldebaran b" 2057.07 11.68 1.45 1.13 20.43 0 "radial velocity" 1998
"alf Ari b" 572.29 11.15 1.16 1.5 20.2 0 "radial velocity" 2011
"alf Cen B b" 1.14 1.09 0.04 0.93 1.29 0 "radial velocity" 2012
"AS 205 A b" 6120.35 10.99 0.15 0.9 140 0 "radial velocity" 2017
"BD+03 2562 b" 2034.82 11.68 1.27 1.14 2618 0 "radial velocity" 2017
"BD+14 4559 b" 467.37 10.89 0.74 0.86 50 0 "radial velocity" 2009
"BD+15 2375 b" 337.02 10.37 0.58 1.08 774 0 "radial velocity" 2016
"BD+15 2940 b" 352.91 10.45 0.52 1.1 585 0 "radial velocity" 2013
"BD+20 594 b" 16.31 2.23 0.24 0.96 152.1 0 "primary transit" 2016
"BD+20 1790 b" 2025.28 11.68 0.06 0.63 25.4 0 "other" 2009
"BD+20 2457 b" 6810.27 10.85 1.43 2.8 200 0 "radial velocity" 2009
"BD+20 2457 c" 3964.71 11.44 1.98 2.8 200 0 "radial velocity" 2009
"BD+24 4697 b" 16850.82 9.15 0.43 0.75 48.8 0 "radial velocity" 2016
"BD+26 1888 b" 8266.44 10.55 1.15 0.76 38 0 "radial velocity" 2016
